id,trader,estimator,feature_used,optimizer,learning_rate,criterion,eps_scheduler,epsilon,epsilon_final,epsilon_decay,action_space,window_size,batch_size,n_episodes,replay_size,sync_steps,train_profit,valid_profit,train_reward,valid_reward,observation
0,DQNFixedTargets,BaseEstimator,adj_close,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,100,10000,1000,545.458,0.0,0.898,0.0,Baseline
1,DQNFixedTargets,BaseEstimator,adj_close,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,100,10000,1000,545.458,0.0,0.898,0.0,Baseline
2,DQNFixedTargets,BaseEstimator,change,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,100,10000,1000,46.994,37.211,0.349,0.165,Baseline
3,DQNFixedTargets,BaseEstimator,adj_close,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,1.392,60.379,0.111,0.503,Baseline
4,DQNFixedTargets,BaseEstimator,change,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,325.133,2.185,0.573,0.009,Baseline
5,DQNFixedTargets,BaseEstimator,close_delta,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,21.148,0,0.122,0.0,Baseline
