id,trader,estimator,features_used,target_used,normalizer,optimizer,learning_rate,criterion,eps_scheduler,epsilon,epsilon_final,epsilon_decay,action_space,window_size,batch_size,n_episodes,replay_size,sync_steps,prob_alpha,beta_start,train_profit,valid_profit,train_reward,valid_reward,observation
21,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,5,32,1000,1000,1000,0.6,0.4,1936.527,671.345,2.207,3.4389999999999996,Use all features from features_used field
22,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,10,32,1000,1000,1000,0.6,0.4,3069.874000000001,867.4830000000003,3.509,3.981,Use all features from features_used field
23,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,15,32,1000,1000,1000,0.6,0.4,3512.046,587.5880000000002,3.995,3.222,Use all features from features_used field
24,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,5,32,1000,1000,1000,0.6,0.4,3011.281,722.7080000000003,3.478,3.686,Use all features from features_used field
25,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,1000,1000,0.6,0.4,1732.4370000000001,1057.348,2.194,4.5710000000000015,Use all features from features_used field
26,DQNVanilla,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,15,32,1000,1000,1000,0.6,0.4,3823.139,721.567,4.686,3.439,Use all features from features_used field
27,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,5,32,1000,1000,1000,0.6,0.4,-4.809,22.127,0.05,0.252,Use all features from features_used field
28,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,10,32,1000,1000,1000,0.6,0.4,5432.465,706.1610000000003,6.182,3.569,Use all features from features_used field
29,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,15,32,1000,1000,1000,0.6,0.4,258.347,125.094,0.31,0.496,Use all features from features_used field
30,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,5,32,1000,1000,1000,0.6,0.4,1799.3770000000006,793.59,2.3,3.73,Use all features from features_used field
31,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,10,32,1000,1000,1000,0.6,0.4,1816.01,395.158,2.088,1.7590000000000001,Use all features from features_used field
32,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,15,32,1000,1000,1000,0.6,0.4,626.195,139.91299999999998,0.835,2.015,Use all features from features_used field
33,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,5,32,1000,1000,1000,0.6,0.4,2229.729,791.325,2.549,3.638,Use all features from features_used field
34,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,1000,1000,0.6,0.4,657.559,-4.74,0.831,1.548,Use all features from features_used field
35,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,15,32,1000,1000,1000,0.6,0.4,1806.5520000000001,514.56,2.057,2.761,Use all features from features_used field
36,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.9,3,5,32,1000,1000,1000,0.6,0.4,-0.901,458.815,0.0,2.7,Use all features from features_used field
