id,trader,estimator,optimizer,learning_rate,criterion,eps_scheduler,epsilon,epsilon_final,epsilon_decay,action_space,window_size,batch_size,n_episodes,replay_size,sync_steps,train_profit,valid_profit,train_reward,valid_reward,observation
15,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-16.937,0.0,0.133,0.0,Baseline
16,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-16.937,0.0,0.133,0.0,Baseline
17,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-358.89,1806.406,6.005,15.523,Baseline
18,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,2.103,0.0,0.064,0.0,Baseline
19,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,8.213,-0.15,0.074,0.0,Baseline
20,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-378.8,0.0,9.226,0.0,Baseline
21,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,425.179,574.463,2.687,2.688,Baseline
22,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,8.213,-0.15,0.074,0.0,Baseline
23,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,3.319,0.0,0.009,0.0,Baseline
24,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-56.162,-122.838,0.2,0.06,Baseline
